"Hora","Voltage[V]","ε Voltage[V]","Current[µA]","ε Current[µA]","Pressure[Pa]","ε Pressure[Pa]"
"2022-11-16 16:32:08.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:09.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:10.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:11.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:12.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:13.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:14.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:15.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:16.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:17.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:18.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:19.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:20.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:21.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:22.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:23.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:24.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:25.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:26.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:27.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:28.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:29.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:30.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:31.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:32.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:33.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:34.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:35.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:36.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:37.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:38.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:39.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:40.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:41.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:42.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:43.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:44.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:45.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:46.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:47.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:48.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:49.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:50.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:51.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:52.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:53.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:54.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:55.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:56.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:57.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:58.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:32:59.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
"2022-11-16 16:33:00.960","-0,07","0,00001","0,01","0,00001","1,30","0,00001"
