"Time,""Voltage[V]"",""ε Voltage[V]"",""Current[µA]"",""ε Current[µA]"",""Pressure[Pa]"",""ε Pressure[Pa]"""
"2022-11-16 16:54:14.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:15.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:16.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:17.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:18.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:19.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:20.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:21.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:22.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:23.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:24.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:25.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:26.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:27.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:28.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:29.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:30.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:31.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:32.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:33.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:34.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:35.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:36.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:37.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:38.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:39.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:40.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:41.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:42.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:43.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:44.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:45.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:46.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:47.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:48.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:49.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:50.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:51.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:52.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:53.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:54.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:55.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:56.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:57.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:58.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:54:59.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:00.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:01.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:02.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:03.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:04.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:05.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:06.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:07.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:08.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:09.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:10.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:11.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:12.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:13.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:14.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:15.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:16.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:17.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:18.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:19.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:20.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:21.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:22.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.97"",""0.00001"""
"2022-11-16 16:55:23.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.91"",""0.00001"""
"2022-11-16 16:55:24.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.83"",""0.00001"""
"2022-11-16 16:55:25.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.78"",""0.00001"""
"2022-11-16 16:55:26.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.73"",""0.00001"""
"2022-11-16 16:55:27.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.69"",""0.00001"""
"2022-11-16 16:55:28.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.67"",""0.00001"""
"2022-11-16 16:55:29.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.65"",""0.00001"""
"2022-11-16 16:55:30.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.62"",""0.00001"""
"2022-11-16 16:55:31.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.60"",""0.00001"""
"2022-11-16 16:55:32.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.58"",""0.00001"""
"2022-11-16 16:55:33.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.56"",""0.00001"""
"2022-11-16 16:55:34.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.54"",""0.00001"""
"2022-11-16 16:55:35.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.52"",""0.00001"""
"2022-11-16 16:55:36.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.50"",""0.00001"""
"2022-11-16 16:55:37.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.49"",""0.00001"""
"2022-11-16 16:55:38.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.47"",""0.00001"""
"2022-11-16 16:55:39.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.45"",""0.00001"""
"2022-11-16 16:55:40.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.44"",""0.00001"""
"2022-11-16 16:55:41.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.42"",""0.00001"""
"2022-11-16 16:55:42.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.40"",""0.00001"""
"2022-11-16 16:55:43.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.39"",""0.00001"""
"2022-11-16 16:55:44.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.38"",""0.00001"""
"2022-11-16 16:55:45.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.37"",""0.00001"""
"2022-11-16 16:55:46.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.36"",""0.00001"""
"2022-11-16 16:55:47.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.36"",""0.00001"""
"2022-11-16 16:55:48.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.35"",""0.00001"""
"2022-11-16 16:55:49.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.34"",""0.00001"""
"2022-11-16 16:55:50.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.33"",""0.00001"""
"2022-11-16 16:55:51.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.32"",""0.00001"""
"2022-11-16 16:55:52.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.32"",""0.00001"""
"2022-11-16 16:55:53.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.31"",""0.00001"""
"2022-11-16 16:55:54.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.30"",""0.00001"""
"2022-11-16 16:55:55.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.30"",""0.00001"""
"2022-11-16 16:55:56.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.29"",""0.00001"""
"2022-11-16 16:55:57.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.28"",""0.00001"""
"2022-11-16 16:55:58.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.28"",""0.00001"""
"2022-11-16 16:55:59.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.27"",""0.00001"""
"2022-11-16 16:56:00.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.27"",""0.00001"""
"2022-11-16 16:56:01.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.26"",""0.00001"""
"2022-11-16 16:56:02.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.26"",""0.00001"""
"2022-11-16 16:56:03.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.25"",""0.00001"""
"2022-11-16 16:56:04.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.25"",""0.00001"""
"2022-11-16 16:56:05.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.24"",""0.00001"""
"2022-11-16 16:56:06.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.24"",""0.00001"""
"2022-11-16 16:56:07.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.23"",""0.00001"""
"2022-11-16 16:56:08.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.23"",""0.00001"""
"2022-11-16 16:56:09.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.22"",""0.00001"""
"2022-11-16 16:56:10.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.22"",""0.00001"""
"2022-11-16 16:56:11.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.21"",""0.00001"""
"2022-11-16 16:56:12.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.21"",""0.00001"""
"2022-11-16 16:56:13.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.21"",""0.00001"""
"2022-11-16 16:56:14.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.20"",""0.00001"""
"2022-11-16 16:56:15.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.20"",""0.00001"""
"2022-11-16 16:56:16.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.20"",""0.00001"""
"2022-11-16 16:56:17.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.19"",""0.00001"""
"2022-11-16 16:56:18.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.19"",""0.00001"""
"2022-11-16 16:56:19.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.19"",""0.00001"""
"2022-11-16 16:56:20.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.19"",""0.00001"""
"2022-11-16 16:56:21.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:22.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:23.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:24.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:25.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:26.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.18"",""0.00001"""
"2022-11-16 16:56:27.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.17"",""0.00001"""
"2022-11-16 16:56:28.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.17"",""0.00001"""
"2022-11-16 16:56:29.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.17"",""0.00001"""
"2022-11-16 16:56:30.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.17"",""0.00001"""
"2022-11-16 16:56:31.350,""-0.07"",""0.00001"",""0.01"",""0.00001"",""0.17"",""0.00001"""
